City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
210,taoudenni,22.6783,-3.9836,26.82,12,0,5.6,ML,1667676675
211,havoysund,70.9963,24.6622,5.13,84,100,3.33,NO,1667676676
212,strezhevoy,60.7333,77.5889,-6.13,96,28,2.73,RU,1667676676
213,touros,-5.1989,-35.4608,27.28,72,100,7.26,BR,1667676507
214,le havre,49.4938,0.1077,12.51,87,100,6.17,FR,1667676536
215,seddon,-37.8068,144.8916,15.98,85,0,6.17,AU,1667676677
216,prieska,-29.6641,22.7474,24.29,24,1,2.33,ZA,1667676678
217,eyl,7.9803,49.8164,26.02,75,33,4.59,SO,1667676678
218,kaeo,-35.1,173.7833,12.96,93,100,2.84,NZ,1667676678
219,rosetta,31.4044,30.4164,20.11,55,0,1.32,EG,1667676679
220,prince rupert,54.3161,-130.3201,3.83,88,0,8.75,CA,1667676613
221,santa marta,11.2408,-74.199,26.03,82,100,7.2,CO,1667676679
222,tahoua,14.8888,5.2692,27.99,23,0,3.09,NE,1667676680
223,villaviciosa,43.4813,-5.4357,13.31,100,97,1.87,ES,1667676680
224,pangnirtung,66.1451,-65.7125,-9.0,62,100,1.54,CA,1667676680
225,khorixas,-20.3667,14.9667,22.26,32,100,3.95,NA,1667676681
226,clyde river,70.4692,-68.5914,-12.87,72,0,8.75,CA,1667676681
227,antalaha,-14.9003,50.2788,20.99,91,41,1.54,MG,1667676682
228,palana,59.1167,159.9667,-7.15,79,71,4.05,RU,1667676682
229,verkhoyansk,67.5447,133.385,-26.24,99,96,1.37,RU,1667676682
230,sao joao da barra,-21.6403,-41.0511,24.05,66,0,7.49,BR,1667676683
231,goderich,43.7501,-81.7165,22.73,53,100,10.8,CA,1667676683
232,bukene,-4.2333,32.8833,22.65,61,100,2.34,TZ,1667676683
233,ribeira grande,38.5167,-28.7,17.22,67,20,3.6,PT,1667676684
234,marawi,7.9986,124.2928,20.17,95,100,0.76,PH,1667676684
235,deyang,31.1302,104.382,15.82,80,97,0.77,CN,1667676685
236,megion,61.0296,76.1136,-0.99,94,56,3.33,RU,1667676685
237,port lincoln,-34.7333,135.8667,16.47,67,98,2.87,AU,1667676629
238,nhulunbuy,-12.2333,136.7667,27.34,89,33,3.6,AU,1667676685
239,petauke,-14.2426,31.3253,23.92,55,20,4.44,ZM,1667676686
240,beihai,21.4833,109.1,19.71,83,100,3.82,CN,1667676686
241,honningsvag,70.9821,25.9704,4.86,81,75,7.72,NO,1667676687
242,ugoofaaru,5.6667,73.0,27.29,71,100,0.45,MV,1667676687
243,westport,41.1415,-73.3579,25.49,68,75,5.14,US,1667676620
244,bograd,54.2344,90.8328,0.41,76,100,1.32,RU,1667676687
245,dingle,10.9995,122.6711,24.15,93,81,2.85,PH,1667676688
246,hun,29.1268,15.9477,21.59,23,0,4.55,LY,1667676688
247,panama city,8.9936,-79.5197,29.05,76,40,8.75,PA,1667676689
248,kresek,-6.1314,106.3797,24.98,89,100,3.28,ID,1667676689
249,broome,42.2506,-75.833,21.96,73,100,4.92,US,1667676689
250,sembe,1.6481,14.5806,21.43,96,83,0.12,CG,1667676690
251,bowen,-20.0167,148.2333,23.89,60,0,8.82,AU,1667676690
252,soyo,-6.1349,12.3689,24.77,87,100,1.85,AO,1667676691
253,rundu,-17.9333,19.7667,24.67,51,97,2.37,NA,1667676691
254,anito,12.4497,125.2886,26.15,90,94,3.4,PH,1667676692
255,ulaanbaatar,47.9077,106.8832,-17.93,85,0,0.0,MN,1667676692
256,kieta,-6.2167,155.6333,26.22,84,96,2.14,PG,1667676692
257,hami,42.8,93.45,7.09,31,100,3.01,CN,1667676693
258,maniitsoq,65.4167,-52.9,-2.8,82,100,7.56,GL,1667676693
259,saint-philippe,-21.3585,55.7679,21.77,79,5,2.94,RE,1667676693
260,bani walid,31.7566,13.9942,17.14,50,0,3.83,LY,1667676694
261,ponta delgada,37.7333,-25.6667,17.4,77,20,3.09,PT,1667676694
262,ola,59.5833,151.2833,-4.92,84,100,4.02,RU,1667676695
263,atambua,-9.1061,124.8925,23.76,85,97,1.89,ID,1667676695
264,sheltozero,61.3667,35.3667,-2.56,93,39,3.02,RU,1667676696
265,kampong chhnang,12.1667,104.55,23.32,95,100,0.86,KH,1667676696
266,nizwa,22.9333,57.5333,23.33,37,97,1.12,OM,1667676696
267,todos santos,23.45,-110.2167,28.91,58,0,3.49,MX,1667676697
268,sobolevo,54.4299,31.8996,-1.26,86,84,3.59,RU,1667676697
269,lavrentiya,65.5833,-171.0,-6.43,78,100,3.54,RU,1667676698
270,matveyevka,52.15,56.1833,-2.88,97,100,1.3,RU,1667676698
271,camacha,33.0833,-16.3333,18.68,77,40,3.6,PT,1667676699
272,talaya,61.3833,152.75,-24.5,99,100,1.11,RU,1667676699
273,fuyang,32.9,115.8167,10.11,52,6,3.49,CN,1667676699
274,yeppoon,-23.1333,150.7333,16.88,75,33,6.1,AU,1667676700
275,zhigansk,66.7697,123.3711,-27.22,100,81,2.59,RU,1667676700
276,phan thiet,10.9333,108.1,23.2,90,98,1.06,VN,1667676470
277,pleasanton,37.6624,-121.8747,19.21,79,100,3.09,US,1667676647
278,caravelas,-17.7125,-39.2481,23.33,66,1,5.97,BR,1667676701
279,takoradi,4.8845,-1.7554,26.13,82,99,3.2,GH,1667676545
280,vardo,70.3705,31.1107,4.99,81,100,5.14,NO,1667676701
281,krasnoarmeysk,51.0239,45.6969,1.47,96,100,3.14,RU,1667676701
282,riyadh,24.6877,46.7219,24.08,50,54,6.9,SA,1667676702
